A1	A2	B1	B2
77	67	74	76
1632	1436	1750	1303
2278	2173	2392	1840
0	0	0	0
1	1	0	1
12	11	6	11
0	2	1	0
13	12	5	6
0	0	0	0
0	0	0	0
0	4	9	4
0	0	0	0
2	1	8	3
2010	1907	1865	1392
10	7	7	10
242	225	209	184
1767	1469	1763	1651
2288	1995	2495	2220
28	19	31	39
265	240	337	277
11	9	12	13
25085	21870	28050	22805
74	62	152	129
1	2	0	1
2	2	3	2
285	236	409	289
17652	15978	13430	13469
189	153	105	127
24	10	6	5
288	234	306	267
670	493	669	461
2655	2224	3048	1971
2	0	3	1
0	0	0	0
0	0	1	0
299	225	305	270
2272	1933	1858	2038
0	2	2	1
274	248	194	180
1649	1424	1867	1194
24	15	84	33
8	5	28	11
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
645	622	808	714
4165	4294	4087	3729
1353	1391	1429	1279
4476	4547	4119	3742
9	6	10	8
13	1	8	5
237	179	193	195
290	218	233	242
0	0	0	1
0	0	0	0
0	0	4	1
511	438	611	498
2231	2085	2554	2321
87	69	77	48
25	17	43	45
69	42	88	74
1045	863	1196	915
0	4	3	4
3346	3040	3546	3508
60	50	50	46
288	275	376	277
797	721	757	736
46	41	51	44
1215	1194	1174	1205
16	4	13	11
10	8	8	14
310	245	342	265
434	370	347	387
958	736	755	516
1017	764	781	540
1021	768	788	544
876	995	992	992
1123	910	1181	804
227	171	196	122
2	6	5	1
7	2	10	5
0	1	3	2
235	208	245	232
2053	1701	1865	1611
10	16	13	3
526	424	467	388
5149	4887	4323	4449
32	39	41	61
204	188	220	170
0	0	0	0
44205	39384	38443	38793
344	440	238	294
8799	7083	8311	6862
48412	42923	43050	38623
1940	1647	2215	1649
1236	1081	1182	1164
8672	8294	11795	13460
10917	9981	9286	11853
404	342	326	291
65	38	72	67
35	33	18	39
4	5	1	2
10	16	13	3
552	419	392	450
831	769	807	761
87	71	64	66
31	25	22	38
104	75	73	86
987	871	709	608
190	149	136	133
1753	1572	1577	1448
424	392	417	428
0	4	3	0
135	142	132	143
227	220	272	223
948	865	1012	885
3	2	1	1
42778	35690	36160	30530
0	0	1	0
6	12	3	5
